"","SYMBOL","ENSEMBL","ENTREZID"
"544","MCMBP","ENSG00000197771","79892"
"545","DCBLD2","ENSG00000057019","131566"
"546","MUC15","ENSG00000169550","143662"
"547","DYSF","ENSG00000135636","8291"
"548","GLMP","ENSG00000198715","112770"
"549","HIST1H3F","ENSG00000277775","8968"
"550","PRAF2","ENSG00000243279","11230"
"551","TCOF1","ENSG00000070814","6949"
"552","MKI67","ENSG00000148773","4288"
"553","SYNC","ENSG00000162520","81493"
"554","TOMM40","ENSG00000130204","10452"
"555","HIST1H3G","ENSG00000273983","8355"
"556","VRK1","ENSG00000100749","7443"
"557","FANCA","ENSG00000187741","2175"
"558","PTPRZ1","ENSG00000106278","5803"
"559","COL11A2","ENSG00000204248","1302"
"560","COL11A2","ENSG00000235708","1302"
"561","COL11A2","ENSG00000230930","1302"
"562","COL11A2","ENSG00000223699","1302"
"563","COL11A2","ENSG00000206290","1302"
"564","COL11A2","ENSG00000227801","1302"
"565","COL11A2","ENSG00000232541","1302"
"566","SSH1","ENSG00000084112","54434"
"567","NEU1","ENSG00000204386","4758"
"568","NEU1","ENSG00000227315","4758"
"569","NEU1","ENSG00000234343","4758"
"570","NEU1","ENSG00000234846","4758"
"571","NEU1","ENSG00000227129","4758"
"572","NEU1","ENSG00000184494","4758"
"573","NEU1","ENSG00000228691","4758"
"574","NEU1","ENSG00000223957","4758"
"575","DHRS1","ENSG00000157379","115817"
"576","DHRS1","ENSG00000284868","115817"
"577","MAGI2","ENSG00000187391","9863"
"578","TFPI2","ENSG00000105825","7980"
"579","PGAM2","ENSG00000164708","5224"
"580","ARRDC4","ENSG00000140450","91947"
"581","LRRC7","ENSG00000033122","57554"
"582","GLT8D2","ENSG00000120820","83468"
"583","RELL1","ENSG00000181826","768211"
"584","POLE","ENSG00000177084","5426"
"585","PITPNC1","ENSG00000154217","26207"
"586","DNAJC28","ENSG00000177692","54943"
"587","DNAJC28","ENSG00000262911","54943"
"588","LINGO2","ENSG00000174482","158038"
"589","IRF9","ENSG00000213928","10379"
"590","IRF9","ENSG00000285048","10379"
"591","USP1","ENSG00000162607","7398"
"592","MYRF","ENSG00000124920","745"
"593","HIST1H4A","ENSG00000278637","8359"
"594","CDK1","ENSG00000170312","983"
"595","KIAA0825","ENSG00000185261","285600"
"596","MMS22L","ENSG00000146263","253714"
"597","SERINC5","ENSG00000164300","256987"
"598","RFC4","ENSG00000163918","5984"
"599","F2RL2","ENSG00000164220","2151"
"600","ITGA9","ENSG00000144668","3680"
"601","SLC9A9","ENSG00000181804","285195"
"602","RFLNB","ENSG00000183688","359845"
"603","RFLNB","ENSG00000283979","359845"
"604","LRAT","ENSG00000121207","9227"
"605","NFKBIA","ENSG00000100906","4792"
"606","EXOSC2","ENSG00000130713","23404"
"607","TNFAIP3","ENSG00000118503","7128"
"608","B3GALT2","ENSG00000162630","8707"
"609","DNA2","ENSG00000138346","1763"
"610","GRIA2","ENSG00000120251","2891"
"611","RHOBTB3","ENSG00000164292","22836"
"612","ATP8A1","ENSG00000124406","10396"
"613","HSPG2","ENSG00000142798","3339"
"614","KIF15","ENSG00000163808","56992"
"615","KIF15","ENSG00000280610","56992"
"616","MUC1","ENSG00000185499","4582"
"617","RNF217","ENSG00000146373","154214"
"618","EMP1","ENSG00000134531","2012"
"619","SHISA2","ENSG00000180730","387914"
"620","SERPINB7","ENSG00000166396","8710"
"621","CELSR2","ENSG00000143126","1952"
"622","VPS39","ENSG00000166887","23339"
"623","CDCA8","ENSG00000134690","55143"
"624","F8","ENSG00000185010","2157"
"625","LINC00910","ENSG00000188825","100130581"
"626","ZNF850","ENSG00000267041","342892"
"627","FRY","ENSG00000073910","10129"
"628","SLC50A1","ENSG00000169241","55974"
"629","UBE2C","ENSG00000175063","11065"
"630","TMEM47","ENSG00000147027","83604"
"631","DSCC1","ENSG00000136982","79075"
"632","E2F1","ENSG00000101412","1869"
"633","ETV1","ENSG00000006468","2115"
"634","RND3","ENSG00000115963","390"
"635","LEF1","ENSG00000138795","51176"
"636","RRS1","ENSG00000179041","23212"
"637","ATP10D","ENSG00000145246","57205"
"638","ISYNA1","ENSG00000105655","51477"
"639","E2F2","ENSG00000007968","1870"
"640","E2F2","ENSG00000282899","1870"
"641","SAT2","ENSG00000141504","112483"
"642","GRAMD2B","ENSG00000155324","65983"
"643","PLD3","ENSG00000105223","23646"
"644","FBXO5","ENSG00000112029","26271"
"645","GPC6","ENSG00000183098","10082"
"646","KIF24","ENSG00000186638","347240"
"647","LMNB1","ENSG00000113368","4001"
"648","ZNF367","ENSG00000165244","195828"
"649","FAM214A","ENSG00000047346","56204"
"650","AZIN2","ENSG00000142920","113451"
"651","ROBO1","ENSG00000169855","6091"
"652","URB2","ENSG00000135763","9816"
"653","LRR1","ENSG00000165501","122769"
"654","FGGY","ENSG00000172456","55277"
"655","HMOX1","ENSG00000100292","3162"
"656","TLR3","ENSG00000164342","7098"
"657","LAMB2","ENSG00000172037","3913"
"658","FREM2","ENSG00000150893","341640"
"659","YPEL2","ENSG00000175155","388403"
"660","CDCA3","ENSG00000111665","83461"
"661","MYBBP1A","ENSG00000132382","10514"
"662","LAMA2","ENSG00000196569","3908"
"663","FAM129B","ENSG00000136830","64855"
"664","C4orf33","ENSG00000151470","132321"
"665","BYSL","ENSG00000112578","705"
"666","SOX11","ENSG00000176887","6664"
"667","SOX4","ENSG00000124766","6659"
"668","TRAIP","ENSG00000183763","10293"
"669","PBLD","ENSG00000108187","64081"
"670","CPS1","ENSG00000021826","1373"
"671","RGS8","ENSG00000135824","85397"
"672","SLC25A10","ENSG00000183048","1468"
"673","NIT1","ENSG00000158793","4817"
"674","HHEX","ENSG00000152804","3087"
"675","S100Z","ENSG00000171643","170591"
"676","MTFR2","ENSG00000146410","113115"
"677","RHOU","ENSG00000116574","58480"
"678","RHOU","ENSG00000284984","58480"
"679","RORB","ENSG00000198963","6096"
"680","PCDHB10","ENSG00000120324","56126"
"681","SMPD1","ENSG00000166311","6609"
"682","CALB2","ENSG00000172137","794"
"683","CALB2","ENSG00000282830","794"
"684","TGFB1","ENSG00000105329","7040"
"685","MSH2","ENSG00000095002","4436"
"686","IL24","ENSG00000162892","11009"
"687","RSPH3","ENSG00000130363","83861"
"688","TSPAN31","ENSG00000135452","6302"
"689","PDE9A","ENSG00000160191","5152"
"690","CDH12","ENSG00000154162","1010"
"691","TMX4","ENSG00000125827","56255"
"692","PLCD1","ENSG00000187091","5333"
"693","PHLDB2","ENSG00000144824","90102"
"694","MFSD6","ENSG00000151690","54842"
"695","ANXA4","ENSG00000196975","307"
"696","ALDH6A1","ENSG00000119711","4329"
"697","IL6R","ENSG00000160712","3570"
"698","SPP1","ENSG00000118785","6696"
"699","RRP9","ENSG00000114767","9136"
"700","RHOBTB1","ENSG00000072422","9886"
"701","AHCYL2","ENSG00000158467","23382"
"702","GPRC5A","ENSG00000013588","9052"
"703","ID3","ENSG00000117318","3399"
"704","ID3","ENSG00000283060","3399"
"705","CCNDBP1","ENSG00000166946","23582"
"706","VSNL1","ENSG00000163032","7447"
"707","LTV1","ENSG00000135521","84946"
"708","MLC1","ENSG00000100427","23209"
"709","CENPO","ENSG00000138092","79172"
"710","TCN2","ENSG00000185339","6948"
"711","MYBL1","ENSG00000185697","4603"
"712","SPC24","ENSG00000161888","147841"
"713","PPARG","ENSG00000132170","5468"
"714","SLC24A1","ENSG00000074621","9187"
"715","RUSC1-AS1","ENSG00000225855","284618"
"716","PIK3R1","ENSG00000145675","5295"
"717","TP53I3","ENSG00000115129","9540"
"718","EPB41L4A","ENSG00000129595","64097"
"719","FAM229B","ENSG00000203778","619208"
"720","KLHL3","ENSG00000146021","26249"
"721","NDRG2","ENSG00000165795","57447"
"722","PLCE1","ENSG00000138193","51196"
"723","RIN2","ENSG00000132669","54453"
"724","FREM1","ENSG00000164946","158326"
"725","PDK2","ENSG00000005882","5164"
"726","ALDH1B1","ENSG00000137124","219"
"727","AEN","ENSG00000181026","64782"
"728","POU2F1","ENSG00000143190","5451"
"729","FLG","ENSG00000143631","2312"
"730","WDR3","ENSG00000065183","10885"
"731","UBE2S","ENSG00000108106","27338"
"732","PCDHB8","ENSG00000120322","56128"
"733","CUL7","ENSG00000044090","9820"
"734","HIST1H3B","ENSG00000274267","8358"
"735","SGO1","ENSG00000129810","151648"
"736","CYB5D2","ENSG00000167740","124936"
"737","MMP1","ENSG00000196611","4312"
"738","HIST1H2BO","ENSG00000274641","8348"
"739","MMP15","ENSG00000102996","4324"
"740","PHLDA1","ENSG00000139289","22822"
"741","SLC35D2","ENSG00000130958","11046"
"742","SLC35D2","ENSG00000285269","11046"
"743","C1RL","ENSG00000139178","51279"
"744","RBL1","ENSG00000080839","5933"
"745","KLHDC1","ENSG00000197776","122773"
"746","MSRB2","ENSG00000148450","22921"
"747","DISP1","ENSG00000154309","84976"
"748","DISP1","ENSG00000228106","84976"
"749","TMPO","ENSG00000120802","7112"
"750","SNORD14E","ENSG00000200879","85391"
"751","DEPDC1B","ENSG00000035499","55789"
"752","MIR222","ENSG00000207725","407007"
"753","VPS13C","ENSG00000129003","54832"
"754","PAK1IP1","ENSG00000111845","55003"
"755","PAK1IP1","ENSG00000285226","55003"
"756","POLR3GL","ENSG00000121851","84265"
"757","DPP4","ENSG00000197635","1803"
"758","MDK","ENSG00000110492","4192"
"759","TTYH2","ENSG00000141540","94015"
"760","SPIN4","ENSG00000186767","139886"
"761","GALT","ENSG00000213930","2592"
"762","ABCA12","ENSG00000144452","26154"
"763","INPP5D","ENSG00000168918","3635"
"764","INPP5D","ENSG00000281614","3635"
"765","CCDC102B","ENSG00000150636","79839"
"766","KIF2C","ENSG00000142945","11004"
"767","NFIB","ENSG00000147862","4781"
"768","FGFRL1","ENSG00000127418","53834"
"769","LRRC59","ENSG00000108829","55379"
"770","TIPIN","ENSG00000075131","54962"
"771","PCSK2","ENSG00000125851","5126"
"772","TTLL12","ENSG00000100304","23170"
"773","GPX3","ENSG00000211445","2878"
"774","MAP3K12","ENSG00000139625","7786"
"775","ARMC9","ENSG00000135931","80210"
"776","CBLB","ENSG00000114423","868"
"777","BCHE","ENSG00000114200","590"
"778","RRAS","ENSG00000126458","6237"
"779","NDUFAF4","ENSG00000123545","29078"
"780","HAUS8","ENSG00000131351","93323"
"781","OLFML2A","ENSG00000185585","169611"
"782","CENPN","ENSG00000166451","55839"
"783","ELMOD1","ENSG00000110675","55531"
"784","MKRN9P","ENSG00000258128","400058"
"785","SYT14","ENSG00000143469","255928"
"786","ABTB2","ENSG00000166016","25841"
"787","SNORD28","ENSG00000274544","9300"
"788","CIRBP","ENSG00000099622","1153"
"789","HIST1H2BL","ENSG00000185130","8340"
"790","GRN","ENSG00000030582","2896"
"791","STON2","ENSG00000140022","85439"
"792","BAG3","ENSG00000151929","9531"
"793","PPARGC1A","ENSG00000109819","10891"
"794","TTK","ENSG00000112742","7272"
"795","NID1","ENSG00000116962","4811"
"796","SNORD12C","ENSG00000209042","26765"
"797","KIF13A","ENSG00000137177","63971"
"798","YPEL5","ENSG00000119801","51646"
"799","METTL21EP","ENSG00000250878","121952"
"800","DIO2","ENSG00000211448","1734"
"801","ZNF473","ENSG00000142528","25888"
"802","PXYLP1","ENSG00000155893","92370"
"803","HIST1H4D","ENSG00000277157","8360"
"804","HDAC5","ENSG00000108840","10014"
"805","MELK","ENSG00000165304","9833"
"806","C11orf71","ENSG00000180425","54494"
"807","ABHD17C","ENSG00000136379","58489"
"808","FANCD2","ENSG00000144554","2177"
"809","ERO1B","ENSG00000086619","56605"
"810","PLK3","ENSG00000173846","1263"
"811","NET1","ENSG00000173848","10276"
"812","CPQ","ENSG00000104324","10404"
"813","IFI30","ENSG00000216490","10437"
"814","TP53TG1","ENSG00000182165","11257"
"815","ANO4","ENSG00000151572","121601"
"816","ANO4","ENSG00000262139","121601"
"817","BHLHE41","ENSG00000123095","79365"
"818","ABCE1","ENSG00000164163","6059"
"819","ECT2","ENSG00000114346","1894"
"820","PCDHB14","ENSG00000120327","56122"
"821","LPL","ENSG00000175445","4023"
"822","FMO5","ENSG00000131781","2330"
"823","OR8A1","ENSG00000196119","390275"
"824","FOXP2","ENSG00000128573","93986"
"825","IL16","ENSG00000172349","3603"
"826","PPM1N","ENSG00000213889","147699"
"827","NFATC2","ENSG00000101096","4773"
"828","CCDC191","ENSG00000163617","57577"
"829","NIPAL1","ENSG00000163293","152519"
"830","ERMAP","ENSG00000164010","114625"
"831","GRM8","ENSG00000179603","2918"
"832","REEP2","ENSG00000132563","51308"
"833","RRM1","ENSG00000167325","6240"
"834","MAGED2","ENSG00000102316","10916"
"835","QKI","ENSG00000112531","9444"
"836","CASTOR3","ENSG00000239521","352954"
"837","ZEB1","ENSG00000148516","6935"
"838","CD68","ENSG00000129226","968"
"839","TMEM117","ENSG00000139173","84216"
"840","MPPED2","ENSG00000066382","744"
"841","LURAP1L","ENSG00000153714","286343"
"842","PTPRM","ENSG00000173482","5797"
"843","CHAF1B","ENSG00000159259","8208"
"844","CERS6","ENSG00000172292","253782"
"845","NTNG1","ENSG00000162631","22854"
"846","CXXC5","ENSG00000171604","51523"
"847","FAR2","ENSG00000064763","55711"
"848","SHISA4","ENSG00000198892","149345"
"849","PRC1","ENSG00000198901","9055"
"850","KIZ","ENSG00000088970","55857"
"851","POLD4","ENSG00000175482","57804"
"852","NUP205","ENSG00000155561","23165"
"853","POU6F2","ENSG00000106536","11281"
"854","PPP3CA","ENSG00000138814","5530"
"855","CCT5","ENSG00000150753","22948"
"856","KNSTRN","ENSG00000128944","90417"
"857","SPANXB1","ENSG00000227234","728695"
"858","NCAPG","ENSG00000109805","64151"
"859","HIST1H2AJ","ENSG00000276368","8331"
"860","HECW1","ENSG00000002746","23072"
"861","ABHD1","ENSG00000143994","84696"
"862","ABRAXAS1","ENSG00000163322","84142"
"863","H6PD","ENSG00000049239","9563"
"864","INHBA","ENSG00000122641","3624"
"865","AGA","ENSG00000038002","175"
"866","METTL7A","ENSG00000185432","25840"
"867","NDRG4","ENSG00000103034","65009"
"868","FOXD3","ENSG00000187140","27022"
"869","ARHGAP31","ENSG00000031081","57514"
"870","PDLIM1","ENSG00000107438","9124"
"871","LGALS3","ENSG00000131981","3958"
"872","CHD3","ENSG00000170004","1107"
"873","TINF2","ENSG00000092330","26277"
"874","TINF2","ENSG00000284915","26277"
"875","GXYLT2","ENSG00000172986","727936"
"876","FARSB","ENSG00000116120","10056"
"877","CEMIP2","ENSG00000135048","23670"
"878","PVR","ENSG00000073008","5817"
"879","POLR3K","ENSG00000161980","51728"
"880","C4orf19","ENSG00000154274","55286"
"881","SLC25A35","ENSG00000125434","399512"
"882","PLEKHH1","ENSG00000054690","57475"
"883","SLC25A19","ENSG00000125454","60386"
"884","ARRDC3","ENSG00000113369","57561"
"885","NOCT","ENSG00000151014","25819"
"886","SYTL2","ENSG00000137501","54843"
"887","KNTC1","ENSG00000184445","9735"
"888","NEK1","ENSG00000137601","4750"
"889","CHEK1","ENSG00000149554","1111"
"890","PARP9","ENSG00000138496","83666"
"891","EBI3","ENSG00000105246","10148"
"892","SNAPC1","ENSG00000023608","6617"
"893","AQP3","ENSG00000165272","360"
"894","GINS4","ENSG00000147536","84296"
"895","VGLL3","ENSG00000206538","389136"
"896","ZNF528","ENSG00000167555","84436"
"897","LIF","ENSG00000128342","3976"
"898","HSPH1","ENSG00000120694","10808"
"899","CREBRF","ENSG00000164463","153222"
"900","EGR1","ENSG00000120738","1958"
"901","SPDL1","ENSG00000040275","54908"
"902","RANGAP1","ENSG00000100401","5905"
"903","PHF19","ENSG00000119403","26147"
"904","TMEM255A","ENSG00000125355","55026"
"905","NUP35","ENSG00000163002","129401"
"906","LOC100287896","ENSG00000254837","100287896"
"907","KIF22","ENSG00000079616","3835"
"908","KCNH1","ENSG00000143473","3756"
"909","KCNH1","ENSG00000283965","3756"
"910","SHROOM3","ENSG00000138771","57619"
"911","ADCY3","ENSG00000138031","109"
"912","IMP4","ENSG00000136718","92856"
"913","EFNA1","ENSG00000169242","1942"
"914","SLITRK3","ENSG00000121871","22865"
"915","KIF23","ENSG00000137807","9493"
"916","ING4","ENSG00000111653","51147"
"917","KNOP1","ENSG00000103550","400506"
"918","GPR162","ENSG00000250510","27239"
"919","RIT1","ENSG00000143622","6016"
"920","ZNF334","ENSG00000198185","55713"
"921","HIST1H3E","ENSG00000274750","8353"
"922","RALGPS2","ENSG00000116191","55103"
"923","MTMR9LP","ENSG00000220785","339483"
"924","BEND6","ENSG00000151917","221336"
"926","TEAD4","ENSG00000197905","7004"
"927","CHMP4C","ENSG00000164695","92421"
"928","RRP7A","ENSG00000189306","27341"
"929","MMP19","ENSG00000123342","4327"
"930","TSPAN2","ENSG00000134198","10100"
"931","CKB","ENSG00000166165","1152"
"932","FGD4","ENSG00000139132","121512"
"933","PRPF4","ENSG00000136875","9128"
"934","RHBDF1","ENSG00000007384","64285"
"935","SEH1L","ENSG00000085415","81929"
"936","MMP12","ENSG00000262406","4321"
"937","FAM78B","ENSG00000188859","149297"
"938","PARP3","ENSG00000041880","10039"
"939","HBE1","ENSG00000213931","3046"
"940","CTSF","ENSG00000174080","8722"
"941","ADGRL3","ENSG00000150471","23284"
"942","PCDHB3","ENSG00000113205","56132"
"943","SLC19A1","ENSG00000173638","6573"
"944","FBXL20","ENSG00000108306","84961"
"945","HIST1H2BC","ENSG00000180596","8347"
"946","EZH2","ENSG00000106462","2146"
"947","SNRPD1","ENSG00000167088","6632"
"948","GLI3","ENSG00000106571","2737"
"949","SKA1","ENSG00000154839","220134"
"950","SKA1","ENSG00000262634","220134"
"951","GSTZ1","ENSG00000100577","2954"
"952","SUV39H2","ENSG00000152455","79723"
"953","ZNF83","ENSG00000167766","55769"
"954","NEMP1","ENSG00000166881","23306"
"955","DMC1","ENSG00000100206","11144"
"956","MC4R","ENSG00000166603","4160"
"957","FKBP4","ENSG00000004478","2288"
"958","BBS2","ENSG00000125124","583"
"959","VAT1","ENSG00000108828","10493"
"960","AP1G2","ENSG00000213983","8906"
"961","PDK1","ENSG00000152256","5163"
"962","PRPS2","ENSG00000101911","5634"
"963","PLTP","ENSG00000100979","5360"
"964","ESPL1","ENSG00000135476","9700"
"965","CCNB1","ENSG00000134057","891"
"966","KIAA1324L","ENSG00000164659","222223"
"967","FEN1","ENSG00000168496","2237"
"968","HIST1H2AK","ENSG00000275221","8330"
"969","PIMREG","ENSG00000129195","54478"
"970","GSTT1","ENSG00000277656","2952"
"971","PADI2","ENSG00000117115","11240"
"972","CDH7","ENSG00000081138","1005"
"973","PLK1","ENSG00000166851","5347"
"974","KIAA1107","ENSG00000189195","23285"
"975","GABRG2","ENSG00000113327","2566"
"976","TTF2","ENSG00000116830","8458"
"977","FAM149B1","ENSG00000138286","317662"
"978","SFXN1","ENSG00000164466","94081"
"979","MYB","ENSG00000118513","4602"
"980","UBR7","ENSG00000012963","55148"
"981","UBR7","ENSG00000278787","55148"
"983","PPP1R21","ENSG00000162869","129285"
"984","ACACB","ENSG00000076555","32"
"985","ENO4","ENSG00000188316","387712"
"986","PSMC3IP","ENSG00000131470","29893"
"987","NUF2","ENSG00000143228","83540"
"988","DSC2","ENSG00000134755","1824"
"989","MBD5","ENSG00000204406","55777"
"990","NOC3L","ENSG00000173145","64318"
"991","TRMT6","ENSG00000089195","51605"
"992","FAM122C","ENSG00000156500","159091"
"993","HIST1H4B","ENSG00000278705","8366"
"994","DZIP3","ENSG00000198919","9666"
"995","SLC44A5","ENSG00000137968","204962"
"996","GUCY1B2","ENSG00000123201","2974"
"997","PTX3","ENSG00000163661","5806"
"998","HHIPL2","ENSG00000143512","79802"
"999","ARMC6","ENSG00000105676","93436"
"1000","CCDC92","ENSG00000119242","80212"
"1001","CCDC92","ENSG00000275035","80212"
"1002","TOX","ENSG00000198846","9760"
"1003","ZNF641","ENSG00000167528","121274"
"1004","KCNMB4","ENSG00000135643","27345"
"1005","NIPAL2","ENSG00000104361","79815"
"1006","TNFRSF12A","ENSG00000006327","51330"
"1007","CNKSR2","ENSG00000149970","22866"
"1008","HIST1H4F","ENSG00000274618","8361"
"1009","ACAN","ENSG00000157766","176"
"1010","YRDC","ENSG00000196449","79693"
"1011","CCDC122","ENSG00000151773","160857"
"1012","ADAMTS12","ENSG00000151388","81792"
"1013","ADAMTS12","ENSG00000281690","81792"
"1014","EME1","ENSG00000154920","146956"
"1015","LAPTM5","ENSG00000162511","7805"
"1016","KIF20B","ENSG00000138182","9585"
"1017","MAML2","ENSG00000184384","84441"
"1018","DHX15","ENSG00000109606","1665"
"1019","AK4","ENSG00000162433","205"
"1020","GRAMD1C","ENSG00000178075","54762"
"1021","TMEM219","ENSG00000149932","124446"
"1022","RAB26","ENSG00000167964","25837"
"1023","BUB1","ENSG00000169679","699"
"1024","PLPP4","ENSG00000203805","196051"
"1025","GALNT5","ENSG00000136542","11227"
"1026","RASSF2","ENSG00000101265","9770"
"1027","KCNQ5","ENSG00000185760","56479"
"1028","ZMYND19","ENSG00000165724","116225"
"1029","ESRRG","ENSG00000196482","2104"
"1030","PCYOX1L","ENSG00000145882","78991"
"1031","CAMK4","ENSG00000152495","814"
"1032","RPRM","ENSG00000177519","56475"
"1033","ZNF471","ENSG00000196263","57573"
"1034","WDR43","ENSG00000163811","23160"
"1035","WBP1L","ENSG00000166272","54838"
"1036","ATP1B2","ENSG00000129244","482"
"1037","ADAM19","ENSG00000135074","8728"
"1038","CARF","ENSG00000138380","79800"
"1039","PCDH18","ENSG00000189184","54510"
"1040","NMRK1","ENSG00000106733","54981"
"1041","DCK","ENSG00000156136","1633"
"1042","MRPL17","ENSG00000158042","63875"
"1043","BIRC5","ENSG00000089685","332"
"1044","GNL3","ENSG00000163938","26354"
"1045","PDGFRB","ENSG00000113721","5159"
"1046","C7orf31","ENSG00000153790","136895"
"1047","TM4SF1","ENSG00000169908","4071"
"1048","POC1A","ENSG00000164087","25886"
"1049","LMO4","ENSG00000143013","8543"
"1050","BRIX1","ENSG00000113460","55299"
"1051","LY6K","ENSG00000160886","54742"
"1052","AGRN","ENSG00000188157","375790"
"1053","ZBTB20","ENSG00000181722","26137"
"1054","SAMD12","ENSG00000177570","401474"
"1055","USP53","ENSG00000145390","54532"
"1056","P2RX4","ENSG00000135124","5025"
"1057","SPRY1","ENSG00000164056","10252"
"1058","MARCH4","ENSG00000144583","57574"
"1059","MIF4GD","ENSG00000125457","57409"
"1060","FGFR2","ENSG00000066468","2263"
"1061","CENPA","ENSG00000115163","1058"
"1062","PDE4B","ENSG00000184588","5142"
"1063","TMEM130","ENSG00000166448","222865"
"1064","NF2","ENSG00000186575","4771"
"1065","SASS6","ENSG00000156876","163786"
"1066","NUP58","ENSG00000139496","9818"
"1067","TSPAN13","ENSG00000106537","27075"
"1068","MDGA2","ENSG00000139915","161357"
"1069","MMD","ENSG00000108960","23531"
"1070","FJX1","ENSG00000179431","24147"
"1071","CKS1B","ENSG00000173207","1163"
"1072","PSAP","ENSG00000197746","5660"
"1073","RMI1","ENSG00000178966","80010"
"1074","TRIM51","ENSG00000124900","84767"
"1075","EMG1","ENSG00000126749","10436"
"1076","EMG1","ENSG00000268439","10436"
"1077","CENPP","ENSG00000188312","401541"
"1078","LINC00346","ENSG00000255874","283487"
"1079","MAK16","ENSG00000198042","84549"
"1080","TMEM232","ENSG00000186952","642987"
